Title,Content
Jerusalem-Dec-29-Israeli-soldiers-ignored-cries-for-help-when-they-entered-a-Gaza-building-holding-three,"Jerusalem, Dec 29 : Israeli soldiers ignored cries for ""help"" when they entered a Gaza building holding three hostages just days before killing them by mistake, said a military investigation published on Thursday.The soldiers also heard ""hostages"" shouted in Hebrew on December 10, but interpreted that as a ""terrorist deception attempt"" by Hamas operatives to lure them into the building in the Gaza City district of Shejaiya, the probe said.Believing the building was rigged with explosives, the soldiers exited and killed five Hamas operatives trying to escape, it added.The hostages then probably fled the building also, and on December 15 Israeli soldiers shot them after mistakenly identifying them as a threat, the investigation said.Two were killed instantly. The third hostage fled and soldiers were ordered to hold fire in order to identify him, the probe said.Hearing cries of ""help!"" and ""they're shooting at me"", Israeli commanders asked the surviving hostage to advance towards the soldiers.But two soldiers ""who did not hear the order"" because of ""noise"" from a nearby tank shot him dead.The three hostages were all shirtless and one had been carrying a white flag.On December 14, an army drone had identified signs of ""SOS"" and ""help, three hostages"" on a building close to where the three hostages were shot.The army ""failed in its mission to rescue the hostages in this event,"" army chief Herzi Halevi said in a statement published along with the report of the investigation.The three fatalities ""could have been prevented"", he added.Soon after the killings of the hostages were announced, Prime Minister Benjamin Netanyahu said it ""broke my heart"" and ""broke the whole nation's heart"".Israel has been mourning the deaths of the hostages identified as Yotam Haim, Alon Shamriz and Samer El-Talalqa.The killings of the three men, all in their twenties, have sparked protests in Tel Aviv, where demonstrators demanded that the authorities come up with a new plan to bring home the remaining 129 hostages still held in the Gaza Strip.About 250 people were taken hostage during Hamas's October 7 attacks in Israel, which resulted in the deaths of around 1,140 people, mostly civilians, according to an AFP tally based on Israeli figures.Vowing to destroy Hamas and bring back the hostages, Israel launched a massive military offensive against the Palestinian Islamist movement that has left much of Gaza in ruins.The territory's Hamas government says the war has killed at least 21,320 people, mostly women and children. AFP"
By-Our-Staff-ReporterIMPHAL-Mar-14-Nongthombam-Denin-produced-an-all-round-performance-to-help-CYCLONE-T,"By Our Staff ReporterIMPHAL, Mar 14 : Nongthombam Denin produced an all round performance to help CYCLONE, Thangmeiband cruise to third straight victory in the 8th MNCA W Prahlada and W Ramananda Elite Tournament.CYCLONE elected to field first and bundled out CHAMP for 106 runs in 41.4 overs riding on Nongthombam Denin (4/10 in 6.4 overs) and Nongmaithem Suraj (2/20 in 9 overs)  at Luwangpokpa Cricket Stadium today and chased down the target in 28.4 overs on the back of Rohit Moirangthem 19, Md Al Bashid 43 and Nongthombam Denin 22 not out.CHAMP had a disastrous start to their innings and slumped to 106 all out despite opener Narsingh Yadav scoring a painstakingly slow 121-ball 55 before he was dismissed for the last wicket by Denin in the 42nd over.Bikash, L Santosh and Abdul Kasim also picked a wicket apiece for CYCLONE to keep CHAMP under pressure throughout the innings.Nongthombam Denin was eventually adjudged man of the match.The day also saw TRAU, Kwakeithel open their winning account after two losses by registering a 20-run victory over  RULE, Meitram thanks to Priyojit Kangabam's all round performance at Khangabok Cherapur Public Ground.RULE  opted to field first after winning the toss and saw TRAU gather a modest total of 219 runs for 9 wickets in the allotted 45 overs courtesy Jay Singh (3/33), Thokchom Kishan (2/34), Avinash Asmali (2/44) and Nongthombam Sarojkumar (2/21). Priyojit Kangabam starred for TRAU with a 50-ball 68 in this innings as Amritakaran 29 not out, Anand Naorem 23 and Dr Siddharth Shah 21 made significant contributions.RULE however faltered in the chase and succumbed to 199 all out despite a flourishing start provided by Sanjenbam Sureh 52, Jay Singh 22 and middle order fightback from S Somokanta 23 and Nongthombam Sarojkumar 32.Anand Naorem was pick of the TRAU bowlers as he returned with the best figures of 3/38 in 9 overs while Priyojit Kangabam (2/23) and Mutum Swabhiman (2/43) shared four wickets.Priyojit was eventually adjudged man of the match.Elsewhere at Lairenjam Public Ground, Model Club, Chingamakha fought their way to a 2 wicket win over ESU, Wangkhei Palace Compound after restricting ESU to 179/8.Chongtham Mehul Shreth 44, Sanatomba 30, Thokchom Nishikanta 30 and Keithellakpam Poirei Federick 23 not out were the leading run getters for ESU in the innings which saw Sunil Salam (2/26), L Robertson (1/43), Waikhom Priyokumar (1/18) and M Langlonyamba (1/22).It was a bumpy ride for Model Club in the chase but Langlonyamba played anchor and was two runs away from hitting a century off 99 deliveries to rescue the team from a precarious situation before being bowled out for the 8th wicket. Dibak Naorem then finished off the chase in 41.1 overs with an unbeaten 20.For ESU, Chitaranjan Sharma (3/25), Lourembam Dipu (2/25) and Chongtham Mehul Shreth (3/39) produced exemplary bowling performances but their efforts were not enough to contain the Model Club batters at the end."
By-Our-Staff-ReporterIMPHAL-Mar-21-The-bloc-of-ten-political-parties-is-likely-to-hold-a-meeting-tomorro,"By Our Staff ReporterIMPHAL, Mar 21 :  The bloc of ten political parties is likely to hold a meeting tomorrow to discuss fielding common candidates in both Inner and Outer Parliamentary seats of Manipur in the forthcoming Lok Sabha elections.According to some credible sources, the leaders of the 10 parties viz INC, NCP, CPI, CPI (M), JD-U, Shiv Sena (UT), RSP, Forward Bloc, AAP and AITC will meet at the Congress Bhavan and deliberate on fielding common candidates.It may be mentioned that the CPI, Manipur State Council had already announced that they will field its former State secretary L Sotinkumar (Inner seat).The Sangai Express had also reported on March 19 that there may be a friendly contest between the Congress and the CPI.The meeting was called after several constituent members of the 10 party bloc suggested that fielding more than one candidate would be disadvantageous to the bloc whose primary objective is to defeat the ruling BJP.The main agenda of tomorrow's meeting is to decide whether to field common candidates or not in the election.Another source said that though JD (U) has parted ways with INDIA and switched alliance with BJP at the Centre, it still remains a partner of the 10 party bloc in Manipur.Meanwhile, the Manipur Pradesh Congress Committee (MPCC) has convened a meeting at Congress Bhavan and discussed about the election. The meeting chaired by MPCC K Meghachandra was attended by representatives of the party at the grassroot level and they discussed the strategy to make sure Congress candidates win both the Inner and Outer seats."
RK-SanayaimaBy-the-end-of-2023-the-ethnic-violence-in-Manipur-had-taken-a-significant-toll-leading-to-the,"RK SanayaimaBy the end of 2023, the ethnic violence in Manipur had taken a significant toll, leading to the loss of over 200 lives and the displacement of nearly 60,000 individuals. Against the backdrop of ongoing turmoil in Manipur, a significant deficiency in India’s refugee policy has been thrust into the spotlight, casting a cloud of uncertainty over the Nation’s most fragile North Eastern region. A key concern amid the ongoing ethnic conflict in Manipur revolves around the influx of displaced people from Myanmar who have crossed the border into India. The majority of these border-crossers have left Myanmar due to the severe aftermath of the military coup in 2021. Armed clashes between the Myanmar military and various affiliated groups, including ethnic armed organizations and the People’s Defence Forces (PDFs), have displaced thousands of Myanmarese Nationals. Among these displaced individuals, a significant portion belongs to the Kuki-Chin-Zo ethnic group, and they have sought refuge in the Indian States of Manipur and Mizoram. This influx further complicates the challenges faced in Manipur and underscores the pressing need for comprehensive solutions to address this complex and distressing situation.Central to Manipur’s border predicament is the conspicuous dissonance between its predominantly porous borders and the modern construct of State boundaries. Less than 10% of Manipur’s 390 km international border with Myanmar is fenced, allowing significant cross-border migration. This permeability indicates the deep-seated ethnic affinities binding the Chin-Kuki-Zo populations on both sides of the border. These shared ethnic bonds prompt the Indian side to extend a welcoming reception to refugees from Myanmar, perceiving them as symbols of a shared heritage and unity that transcends conventional State boundaries.However, this approach sharply contrasts with the legalistic perspective of state authorities, who categorize these border crossings as ‘illegal’ and stress the inviolability of established state boundaries. Simultaneously, within Manipur, the Meitei community grapples with distinctive concerns, viewing these ‘illegal immigrants’ as potential security threats. This perception amplifies apprehension about demographic distortion within Manipur. Also, it induces anxiety due to the lack of assurance for an official repatriation policy upon political stability in Myanmar, further complicating the situation.The heightened sense of fear and apprehension prevailing in Manipur can be traced to the historical context of refugee challenges in the broader North Eastern region of India. Migration and displacement have posed significant dilemmas in this area, echoing comparable struggles in the neighboring States of Tripura and Assam. The historical narrative unfolds instances of population movements, often incited by factors such as ethnic conflicts, political unrest, and economic disparities. In Manipur’s case, the reverberation of these historical refugee issues has given rise to a complex and intertwined set of challenges for the indigenous population. The mirroring of circumstances in Tripura and Assam suggests that Manipur experiences akin patterns of demographic shifts, influxes of displaced individuals, and the resulting strain on resources and infrastructure. This parallelism exacerbates the pre-existing challenges tied to refugees in the region.This issue becomes glaringly apparent in a recent incident in which Lieutenant Colonel Venkata Ravi Kiran J, a General Staff Officer with The Assam Rifles, raised concerns by formalizing a letter to the Deputy Commissioner of Manipur’s Chandel district. The contents of Colonel Kiran J’s missive disclose alarming revelations : A significant influx of 718 individuals, classified as illegal immigrants, successfully breached Indian borders on the 22nd and 23rd of July of 2023 alone.The Absence of Formal Refugee Laws in India : Unravelling Manipur’s Ethnic UnrestOne of the most pressing challenges facing today is the glaring absence of legislation designed to address the issue of refugees seeking sanctuary within its borders. This legal vacuum has led to contentious conflicts within the region, driven by apprehension and mistrust. It is a striking irony that a Nation that has endured the bitter experience of forced displacement during the 1947 Partition has yet to establish a clear international or domestic refugee policy. India notably refrains from being a signatory to the United Nations Refugee Convention of 1951 and its accompanying 1967 Protocol, which has exacerbated the ongoing turmoil in the region.The recent ethnic unrest witnessed in Manipur is not an isolated incident but rather a part of the larger fallout from India’s adhoc and selective refugee and migration policy. India’s response to the influx of refugees is marked by the absence of a formal and standardized refugee law, leading to a haphazard approach that is influenced by a complex web of factors, such as geopolitics, diplomacy, domestic politics, and local socio-cultural dynamics. This approach often results in a binary perspective that oscillates between “welcoming refugees” and “unwelcoming refugees.” One striking example of this binary approach is evident in India’s treatment of Tibetan refugees who fled their homeland following the Chinese takeover of Tibet in 1959. Initially, India embraced Tibetan refugees, capitalizing on Nationalistic sentiments fuelled by the 1962 border conflict with China. These moves garnered widespread public support for the Tibetan cause and served as a potent tool in the realm of vote-bank politics. However, over time, the treatment of Tibetan refugees has become increasingly complex, reflecting the changing political landscape and the shifting priorities of the Indian Government.In the face of the multifaceted challenges stemming from ethnic violence, demographic shifts, and border security concerns in Manipur, a comprehensive and forward-looking solution is imperative. The issues at hand demand a concerted effort to bridge the gaps in India’s refugee policy, address the pressing need for legislation, and foster understanding among communities affected by migration.To mitigate the immediate fallout from the recent surge in unauthorized border crossings, collaborative measures are necessary. These may include diplomatic engagement with Myanmar to address the root causes of displacement, coupled with international cooperation to provide humanitarian aid to those affected. The absence of formal refugee laws in India is a glaring gap that needs urgent attention. A comprehensive refugee policy, tailored to the unique challenges of the northeastern region, should be formulated. This policy must prioritize the protection of displaced individuals while addressing the concerns of local communities. By employing strategic and deliberate policy formulation, engaging in diplomatic discourse, fostering community interaction, and promoting international collaboration, we can endeavor to achieve a future characterized by enhanced stability and harmonious coexistence in the northeastern region.The writer is Assistant Professor, School of Law Manav Rachna University, Haryana"
IMPHAL-Mar-21-A-speeding-Sports-Utility-Vehicle-rammed-several-vehicles-from-the-rear-sides-at-Sangaiprou-t,"IMPHAL, Mar 21 : A speeding Sports Utility Vehicle rammed several vehicles from the rear sides at Sangaiprou today, leaving many people including students of Bhaktivedanta Institute Mission Higher Secondary School injured.The accident took place at around 3 pm at Sangaiprou Junction along Tiddim Road.Reportedly, the SUV, a black Tata Harrier, was coming from the Airport side.The injured were taken to Asian Hospital.Lamphel Police have registered a case of reckless driving against the driver of the Tata Harrier who also sustained injury in the incident."
Sivakumar-Vijayaraghavalu-PhD-Honey-a-golden-elixir-produced-by-bees-from-the-nectar-of-flowers-has-been,"Sivakumar Vijayaraghavalu (PhD)Honey, a golden elixir produced by bees from the nectar of flowers, has been revered across civilizations for millennia, not just as a sweetener but as a potent medicine. Its therapeutic virtues, documented in ancient texts and validated by modern science, offer a harmonious blend of natural remedy and scientific wonder. This article aims to demystify the medicinal benefits of honey, presenting a narrative that captivates the layman's curiosity while satisfying the scientific reader's scrutiny.A Natural AntibioticHoney's most celebrated property is its ability to act as a natural antibiotic. This is largely attributed to its unique composition: a low water content and high acidity level create an inhos- pitable environment for bacteria and microorganisms. Moreover, the presence of hydrogen peroxide, produced when honey is diluted by bodily fluids, offers antiseptic properties. Studies have shown that honey can effectively inhibit the growth of harmful pathogens, making it a valuable ally in wound healing and infection prevention.The Soother of Coughs and Throat IrritationsThe World Health Organization (WHO) recognizes honey as a demulcent, a substance that relieves irritation of the mucous membranes in the mouth by forming a protective film. Its effectiveness in soothing coughs and throat irritations has been substantiated by clinical trials, which have found honey to be as effective, if not more so, than over-the-counter cough remedies, especially in children.An Antioxidant PowerhouseHoney is rich in antioxidants, including phenolic acids and flavonoids, which scavenge free radicals, reducing oxidative stress in the body. This antioxidant capacity contributes to a range of health benefits, from anti-inflammatory effects to the reduction of risk factors for heart disease. Regular consumption of honey has been linked to improved heart health markers, such as reduced levels of LDL cholesterol (""bad"" cholesterol) and triglycerides, as well as an increase in HDL cholesterol (""good"" cholesterol).A Natural Source of EnergyAs a carbohydrate-rich food, honey is an excellent source of natural energy. Its fructose and glucose are quickly absorbed by the body, providing an immediate energy boost. This makes honey an ideal pre-or post-workout snack for athletes and fitness enthusiasts, aiding in endurance and recovery.Enhancing Digestive HealthHoney's prebiotic properties—the ability to feed beneficial gut bacteria—support healthy digestion and may combat digestive issues such as diarrhea and ulcers. Manuka honey, in particular, has been researched for its effective- ness against Helicobacter pylori, a bacterium linked to stomach ulcers. Further, Honey is beneficial for various gastrointestinal disor- ders beyond just ulcers and diarrhea. It has been used to treat conditions such as gastroesophageal reflux disease (GERD) and could potentially protect the gut lining against damage from alcohol and certain drugs. Its anti-inflammatory properties can soothe the eso- phagus and protect against damage caused by acid reflux.Immune System BoostHoney's antioxidant and antibacterial properties contribute to its ability to strengthen the immune system. Regular consumption of honey, especially raw and unprocessed varieties, can stimulate the production of immune cells, helping the body to fight off infections more effectively. The antioxidants in honey, particularly in darker varieties, can also reduce inflammation and protect the body from damage caused by free radicals.A Natural Remedy for Seasonal AllergiesSome studies suggest that local honey, which contains pollen from local plants, can help desensitize the body to these allergens, reducing the symptoms of seasonal allergies. The theory is that consuming honey acts similarly to a natural vaccine: by introducing small amounts of pollen into the body, the immune system can gradually learn to tolerate them, lessening the severity of allergic reactions over time.Sleep AidHoney can be a helpful ally in promoting restful sleep. Consuming honey before bedtime can help in the release of melatonin in the brain because it increases insulin levels, which in turn releases serotonin. Serotonin is then converted to melatonin, a hormone that regulates sleep. Additionally, the natural sugar in honey may slightly raise insulin levels, allowing tryptophan (the compound famous for causing sleepiness after eating turkey) to enter the brain more easily, thereby promoting sleep.Wound Healing and Burns : Honey is not only antibacterial but also maintains a moist wound con- dition, and its high viscosity helps to provide a protective barrier to prevent infection. Its effectiveness in treating burns and wounds has been demonstrated in numerous studies, with honey speeding up the healing process and reducing infection. The anti- inflammatory properties of honey also reduce pain and irritation associated with wounds and burns.Reduction of Chemotherapy Side EffectsEmerging research suggests that honey may have a role in alleviating side effects associated with che- motherapy, such as mucositis, a painful inflammation and ulceration of the mucous membranes lining the digestive tract. Honey's anti-inflammatory and wound- healing properties can offer relief and improve the quality of life for patients under- going cancer treatment.Skin Care and Dermatological ApplicationsThe application of honey extends beyond internal health benefits to dermatological care. Its moistu- rizing, anti-inflammatory, and antibacterial properties make it an excellent natural remedy for a variety of skin conditions, including acne, eczema, and psoriasis. Ho-ney masks and topical applications can promote skin healing and rejuvenation.A Word of CautionDespite its myriad benefits, honey is not suitable for everyone. Infants under one year of age should not consume honey due to the risk of botulism. Individuals with allergies to bee products should also exercise caution.Bridging Tradition and ScienceThe medicinal benefits of honey, spanning from antimicrobial properties to antioxidative effects, represent a compelling synergy between traditional wisdom and scientific validation. Its versatility as a natural remedy and dietary supplement underscores the importance of integrating natural products into our healthcare and wellness practices.In conclusionHoney, with its myriad medicinal properties, serves as a bridge between the realms of natural remedies and scientific endorsement. Its ability to act as a natural antibiotic, soothe coughs, provide antioxidants, and enhance digestive health, among other benefits, showcases the profound impact of nature's bounty on human health. As modern research continues to explore and validate the therapeutic uses of honey, it reinforces the wisdom of ancient practices, reminding us of the importance of preserving and integrating natural products into our healthcare regimen.In embracing the benefits of honey, we also acknowledge the need for respon- sible consumption and consideration of individual health conditions, underscoring the balance between natural efficacy and safety. Honey's role in traditional and modern medicine exemplifies the timeless value of natural remedies, offering a sweet path to health and wellness that is as delicious as it is beneficial.As we continue to explore the depths of nature's pharmacy, honey stands out as a testament to the intricate connections between the environment, health, and well-being, inviting both laypeople and the scientific community to appreciate and harness its potential for a healthier future.The writer is an INNOVATOR AWARDEE – From Cleveland Clinic Foundation (#2 rank in the world), Cleveland, Ohio, USA Associate Professor, Department of Life Sciences (Zoology), Manipur University (Central University), Manipur, India and can be reached at[email protected];[email protected]"
IMPHAL-Oct-4-Police-foiled-an-attempt-by-irate-people-to-storm-Cheirap-Court-complex-and-Lamphel-PS-demanding-,"By Our Staff ReporterIMPHAL, Oct 4: Police foiled an attempt by irate people to storm Cheirap Court complex and Lamphel PS demanding befitting punishment for one Thokchom Suraj, a laboratory technician of RIMS who sexually assaulted a minor inside the EGC room of the hospital yesterday.At around 11 am today, a large mob consisting of family members of the victim and the JAC formed in connection with the incident, carried out protests at Lamphel PS gate and Cheirap Court complex after on getting information that the accused Thokchom Suraj (36) s/o Kulla of Keishamthong Moirang-ningthou Leirak, would be produced before the Court of Special Judge, POCSO, Imphal West.The mob protesting in front of Lamphel PS, tried to storm the station but police personnel deployed in large number at the gate foiled their attempt and brought the situation under control.Later, the accused was taken to the Court complex on board a bullet proof vehicle. The angry mob gathered at the Court gate shouted slogans demanding capital punishment for the accused. To prevent any type of unwanted incidents inside the Court complex, the main entrance gate was closed by security personnel who prevented the mob from going any further inside the complex.During the proceeding, Thokchom Suraj was produced along with a prayer for remanding him into police custody for further investigation of the case. The IO of the case submitted that a complaint was lodged by the parents of the victim stating that early morning yesterday, their daughter was sexually assaulted by the accused inside the EGC room of RIMS hospital after she was admitted for some tests due to fever and dysentery.Based on the complaint, a regular case was registered for investigation and the accused was arrested, the IO mentioned adding that during preliminary interrogation, Suraj admitted to the crime.As such, the IO prayed for five days police custody remand of the accused.The Court, after going through the case record and the submission of the IO, remanded Suraj to five days in police custody, till October 8.After the Court proceedings ended, angry womenfolk attacked the police vehicle on which the accused was taken away. On the other hand, during the period when the accused was being produced before the Court for the hearing, another group of JAC members took out a protest at RIMS, near the OPD, demanding appropriate action against the accused.They also demanded all female staff who were on duty on the day of incident to be dismissed immediately for not doing their duty properly and leaving the minor victim alone without any supervision or care.The JAC also demanded necessary action against those who are involved in recruiting the accused as a casual employee of the hospital without the knowledge of RIMS Director.Till the time of filing this report, members of the JAC were waiting hold a talk with RIMS authority, after their (RIMS) Board meeting for constituting an enquiry committee concludes."
IMPHAL-Mar-16The-Manipur-Amateur-Boxing-Association-MABA-has-informed-that-a-pre-National-camp-trial-will,"IMPHAL, Mar 16The Manipur Amateur Boxing Association (MABA) has informed that a pre National camp trial will be conducted on March 31 at Khuman Lampak Boxing Arena.The selected players will participate in the National selection trials to be held at ASI, Pune from April 6 to 12 in view of the Asian Boxing Championship scheduled to be held from April 26 to May 8 in Kazakhstan, MABA said in a statement."
DIMAPUR-Mar-6The-Southern-Angami-Public-Organisation-SAPO-has-asked-the-Mao-community-people-residing-in,"DIMAPUR, Mar 6The Southern Angami Public Organisation (SAPO) has asked the Mao community people residing in the Angami jurisdiction in Nagaland to return to their respective native villages, as per customary law.The organisation alleged that the Mao Council has failed to vacate and withdraw the Manipur security forces deputed at the disputed Kezoltsa at “their behest with ulterior motive”.SAPO president Tepul Hopovi and general secretary Swelul Pucho, in a release, on Wednesday said the action  was necessitated to deescalate pent-up tension and prevent untoward incidents and for the safety of Mao citizens living under the Angami jurisdiction.  NE NOW NEWS"
NEW-DELHI-Dec-4India-is-among-top-20-countries-with-most-reported-dengue-cases-and-deaths-in-the-year-202,"NEW DELHI, Dec 4India is among top 20 countries with most reported dengue cases and deaths in the year 2023 — which recorded more than in the last five years annually, according to a report released on Sunday.The report, by aid agency Save the Children, showed that between January and November 2023, a whopping 5 million cases of dengue fever were recorded across 20 of the worst-impacted countries — marking a 30 per cent increase in cases compared to 2022 and 18 per cent more than the figures in 2019.It also found that at least 5,500 people were killed by dengue across the 20 countries, including India, up 32 per cent from 2022 and up 11 per cent compared to 2019.The actual number of deaths and cases is likely to be far higher as many cases are not reported, the report said. Bangladesh, which had the highest known global death toll, faced its worst dengue fever outbreak on record in 2023, with over 300,000 people infected since January, a massive jump from the 62,000 people known to have the illness in 2022.The outbreak resulted in 1,598 deaths — including over 160 children, mostly aged under 10 — with the death toll in 2023 more than five times that of 2022.“Across Asia, extreme weather events have contributed to making 2023 a devastating year for dengue deaths, throwing the lives of children into disarray. Children are impacted not only as the victims of dengue but by disruption to their education, increased economic and emotional pressure on their families, and when their caregivers contract and die from disease,” said Yasir Arafat, Save the Children’s Senior Health and Nutrition Advisor for Asia, in a statement.“We need local plans to fight dengue — at village and city level — and with the involvement of communities. Controlling mosquitos, diagnosing the disease and treatment needs to be a government-wide effort and not just the work of health departments. Funding needs to better anticipate extreme weather and climate shocks to manage the risk and not just the crisis,” he added.Dengue fever is a viral infection contracted via mosquito bites and can cause flu-like symptoms, including high fevers, pain behind the eyes, rash, severe headaches and body aches.In the most serious cases it can progress to dengue haemorrhagic fever or dengue shock syndrome, which can be fatal.The report blamed this year’s El Nino event coupled with the climate crisis for the spike in the dengue fever outbreak.In July, the World Health Organisation reported that dengue has surged eight-fold in just over two decades from around half a million cases in 2000 to more than 4.2 million in 2022.PTI"
