id,text,favorite_count,created_at,author,language,retweet_count,media,view_count,replies,,
1.76886823189105E+018,@anirudhdg #kukimilitant on 3rd may in ccpur..... anything u wanna say https://t.co/mJa26k9mbf,2,Sat Mar 16 05:13:45 +0000 2024,James,en,0,"[{'display_url': 'pic.twitter.com/mJa26k9mbf', 'expanded_url': 'https://twitter.com/James55429535/status/1768868231891050996/photo/1', 'id_str': '1768868228254580736', 'indices': [71, 94], 'media_key': '3_1768868228254580736', 'media_url_https': 'https://pbs.twimg.com/media/GIxISB-WwAAYPfp.jpg', 'type': 'photo', 'url': 'https://t.co/mJa26k9mbf', 'ext_media_availability': {'status': 'Available'}, 'features': {'large': {'faces': [{'x': 511, 'y': 476, 'h': 59, 'w': 59}]}, 'medium': {'faces': [{'x': 511, 'y': 476, 'h': 59, 'w': 59}]}, 'small': {'faces': [{'x': 321, 'y': 299, 'h': 37, 'w': 37}]}, 'orig': {'faces': [{'x': 511, 'y': 476, 'h': 59, 'w': 59}]}}, 'sizes': {'large': {'h': 1037, 'w': 1080, 'resize': 'fit'}, 'medium': {'h': 1037, 'w': 1080, 'resize': 'fit'}, 'small': {'h': 653, 'w': 680, 'resize': 'fit'}, 'thumb': {'h': 150, 'w': 150, 'resize': 'crop'}}, 'original_info': {'height': 1037, 'width': 1080, 'focus_rects': [{'x': 0, 'y': 265, 'w': 1080, 'h': 605}, {'x': 0, 'y': 0, 'w': 1037, 'h': 1037}, {'x': 0, 'y': 0, 'w': 910, 'h': 1037}, {'x': 0, 'y': 0, 'w': 519, 'h': 1037}, {'x': 0, 'y': 0, 'w': 1080, 'h': 1037}]}}]",61,[],,
1.76756915584516E+018,"This is not a scene from a movie 
This is not Pakistan 
This is Manipur  (North East India)
The so called Minorities Kuki #Kuki_ZoDrugCommunity #KukiLiesXposed #KukiMilitant . Testing their Pompi . And those Paid Media house like #InidatodayNE trying cover up their asss https://t.co/LbmTzity4b",0,Tue Mar 12 15:11:41 +0000 2024,Living stone,en,0,"[{'display_url': 'pic.twitter.com/LbmTzity4b', 'expanded_url': 'https://twitter.com/kukithuppa/status/1767569155845157114/video/1', 'id_str': '1767569115806420993', 'indices': [271, 294], 'media_key': '7_1767569115806420993', 'media_url_https': 'https://pbs.twimg.com/ext_tw_video_thumb/1767569115806420993/pu/img/vr_fo7FR8A3jubPq.jpg', 'type': 'video', 'url': 'https://t.co/LbmTzity4b', 'additional_media_info': {'monetizable': False}, 'ext_media_availability': {'status': 'Available'}, 'sizes': {'large': {'h': 1280, 'w': 592, 'resize': 'fit'}, 'medium': {'h': 1200, 'w': 555, 'resize': 'fit'}, 'small': {'h': 680, 'w': 315, 'resize': 'fit'}, 'thumb': {'h': 150, 'w': 150, 'resize': 'crop'}}, 'original_info': {'height': 1280, 'width': 592, 'focus_rects': []}, 'video_info': {'aspect_ratio': [37, 80], 'duration_millis': 17400, 'variants': [{'content_type': 'application/x-mpegURL', 'url': 'https://video.twimg.com/ext_tw_video/1767569115806420993/pu/pl/AvNmHuIEfBz9KBeq.m3u8?tag=12&container=cmaf'}, {'bitrate': 632000, 'content_type': 'video/mp4', 'url': 'https://video.twimg.com/ext_tw_video/1767569115806420993/pu/vid/avc1/320x690/I28aw_52PxrVOseV.mp4?tag=12'}, {'bitrate': 950000, 'content_type': 'video/mp4', 'url': 'https://video.twimg.com/ext_tw_video/1767569115806420993/pu/vid/avc1/480x1036/neP-ZjL7s2E9Z8tf.mp4?tag=12'}, {'bitrate': 2176000, 'content_type': 'video/mp4', 'url': 'https://video.twimg.com/ext_tw_video/1767569115806420993/pu/vid/avc1/592x1280/7P6zT9vQu65NgJps.mp4?tag=12'}]}}]",23,[],,
1.76505636156467E+018,Subscribe to Premium+ to go ad-free in For You.,16427,Tue Mar 05 16:46:44 +0000 2024,Premium,en,1432,,5315193,"[<Tweet id=""1765416718912860550"">, <Tweet id=""1767661556043596185"">, <Tweet id=""1764589098574970938"">, <Tweet id=""1765868850539569523"">, <Tweet id=""1769610592115994922"">, <Tweet id=""1768854446975615317"">, <Tweet id=""1767050781402845575"">, <Tweet id=""1769346644904988900"">, <Tweet id=""1765076785904169328"">, <Tweet id=""1765330884234989960"">, <Tweet id=""1765336265602511284"">]",,
1.76745730542604E+018,"Post #creating a communal crisis by the Kuki militants, the Kuki society is formidably #armed. Today, #KukiMilitant get arms via the porous border neglected by our Indian security forces.

As Chinese made M4s acquired, this guy ask other Kukis to join.
@HMOIndia @SpokespersonMoD https://t.co/tYdwZ2nYcD",125,Tue Mar 12 07:47:14 +0000 2024,Johnson,en,146,"[{'display_url': 'pic.twitter.com/tYdwZ2nYcD', 'expanded_url': 'https://twitter.com/johnson63866214/status/1767457305426042923/video/1', 'id_str': '1767452094577995777', 'indices': [280, 303], 'media_key': '7_1767452094577995777', 'media_url_https': 'https://pbs.twimg.com/ext_tw_video_thumb/1767452094577995777/pu/img/D2sL3WELy0Fh77G5.jpg', 'type': 'video', 'url': 'https://t.co/tYdwZ2nYcD', 'additional_media_info': {'monetizable': False}, 'ext_media_availability': {'status': 'Available'}, 'sizes': {'large': {'h': 1080, 'w': 1920, 'resize': 'fit'}, 'medium': {'h': 675, 'w': 1200, 'resize': 'fit'}, 'small': {'h': 383, 'w': 680, 'resize': 'fit'}, 'thumb': {'h': 150, 'w': 150, 'resize': 'crop'}}, 'original_info': {'height': 1080, 'width': 1920, 'focus_rects': []}, 'video_info': {'aspect_ratio': [16, 9], 'duration_millis': 37270, 'variants': [{'content_type': 'application/x-mpegURL', 'url': 'https://video.twimg.com/ext_tw_video/1767452094577995777/pu/pl/hh6SvqWkynXiHYV4.m3u8?tag=12&container=cmaf'}, {'bitrate': 256000, 'content_type': 'video/mp4', 'url': 'https://video.twimg.com/ext_tw_video/1767452094577995777/pu/vid/avc1/480x270/gJRq3ekRYOavmbyv.mp4?tag=12'}, {'bitrate': 832000, 'content_type': 'video/mp4', 'url': 'https://video.twimg.com/ext_tw_video/1767452094577995777/pu/vid/avc1/640x360/KCm92hTRmXPNZPle.mp4?tag=12'}, {'bitrate': 2176000, 'content_type': 'video/mp4', 'url': 'https://video.twimg.com/ext_tw_video/1767452094577995777/pu/vid/avc1/1280x720/YccWRvbnYjy5318G.mp4?tag=12'}]}}]",2465,"[<Tweet id=""1767929190979100757"">, <Tweet id=""1767809533743657150"">, <Tweet id=""1768160549614104764"">]",,
1.76836264339854E+018,"The evil Land grabbed policy by the #KukiNarcoTerrorists which is driven by Nazi expansionism ideology of #Lebensraum ( As per PS Haokip , Supremo #KukiMilitant), 

Let’s remind that Lebensraum Led to #Holocaust of Jews , Polish, Ukhraine, Russian etc and now it is happening in… https://t.co/IV2pJXh7e9",86,Thu Mar 14 19:44:43 +0000 2024,TheBlueHills,en,87,"[{'display_url': 'pic.twitter.com/IV2pJXh7e9', 'expanded_url': 'https://twitter.com/TheBlueHills49/status/1768362643398541699/photo/1', 'id_str': '1768362636872146944', 'indices': [280, 303], 'media_key': '3_1768362636872146944', 'media_url_https': 'https://pbs.twimg.com/media/GIp8cvTWYAA0iSw.jpg', 'type': 'photo', 'url': 'https://t.co/IV2pJXh7e9', 'ext_media_availability': {'status': 'Available'}, 'features': {'large': {'faces': [{'x': 239, 'y': 471, 'h': 42, 'w': 42}]}, 'medium': {'faces': [{'x': 239, 'y': 471, 'h': 42, 'w': 42}]}, 'small': {'faces': [{'x': 138, 'y': 273, 'h': 24, 'w': 24}]}, 'orig': {'faces': [{'x': 239, 'y': 471, 'h': 42, 'w': 42}]}}, 'sizes': {'large': {'h': 791, 'w': 1170, 'resize': 'fit'}, 'medium': {'h': 791, 'w': 1170, 'resize': 'fit'}, 'small': {'h': 460, 'w': 680, 'resize': 'fit'}, 'thumb': {'h': 150, 'w': 150, 'resize': 'crop'}}, 'original_info': {'height': 791, 'width': 1170, 'focus_rects': [{'x': 0, 'y': 136, 'w': 1170, 'h': 655}, {'x': 277, 'y': 0, 'w': 791, 'h': 791}, {'x': 325, 'y': 0, 'w': 694, 'h': 791}, {'x': 474, 'y': 0, 'w': 396, 'h': 791}, {'x': 0, 'y': 0, 'w': 1170, 'h': 791}]}}, {'display_url': 'pic.twitter.com/IV2pJXh7e9', 'expanded_url': 'https://twitter.com/TheBlueHills49/status/1768362643398541699/photo/1', 'id_str': '1768362636867932160', 'indices': [280, 303], 'media_key': '3_1768362636867932160', 'media_url_https': 'https://pbs.twimg.com/media/GIp8cvSWEAAMH6K.jpg', 'type': 'photo', 'url': 'https://t.co/IV2pJXh7e9', 'ext_media_availability': {'status': 'Available'}, 'features': {'large': {'faces': [{'x': 234, 'y': 300, 'h': 97, 'w': 97}]}, 'medium': {'faces': [{'x': 209, 'y': 267, 'h': 86, 'w': 86}]}, 'small': {'faces': [{'x': 118, 'y': 151, 'h': 49, 'w': 49}]}, 'orig': {'faces': [{'x': 234, 'y': 300, 'h': 97, 'w': 97}]}}, 'sizes': {'large': {'h': 1343, 'w': 1170, 'resize': 'fit'}, 'medium': {'h': 1200, 'w': 1045, 'resize': 'fit'}, 'small': {'h': 680, 'w': 592, 'resize': 'fit'}, 'thumb': {'h': 150, 'w': 150, 'resize': 'crop'}}, 'original_info': {'height': 1343, 'width': 1170, 'focus_rects': [{'x': 0, 'y': 0, 'w': 1170, 'h': 655}, {'x': 0, 'y': 0, 'w': 1170, 'h': 1170}, {'x': 0, 'y': 0, 'w': 1170, 'h': 1334}, {'x': 249, 'y': 0, 'w': 672, 'h': 1343}, {'x': 0, 'y': 0, 'w': 1170, 'h': 1343}]}}, {'display_url': 'pic.twitter.com/IV2pJXh7e9', 'expanded_url': 'https://twitter.com/TheBlueHills49/status/1768362643398541699/photo/1', 'id_str': '1768362636859559936', 'indices': [280, 303], 'media_key': '3_1768362636859559936', 'media_url_https': 'https://pbs.twimg.com/media/GIp8cvQWUAAhIVO.jpg', 'type': 'photo', 'url': 'https://t.co/IV2pJXh7e9', 'ext_media_availability': {'status': 'Available'}, 'features': {'large': {'faces': []}, 'medium': {'faces': []}, 'small': {'faces': []}, 'orig': {'faces': []}}, 'sizes': {'large': {'h': 1422, 'w': 1170, 'resize': 'fit'}, 'medium': {'h': 1200, 'w': 987, 'resize': 'fit'}, 'small': {'h': 680, 'w': 559, 'resize': 'fit'}, 'thumb': {'h': 150, 'w': 150, 'resize': 'crop'}}, 'original_info': {'height': 1422, 'width': 1170, 'focus_rects': [{'x': 0, 'y': 767, 'w': 1170, 'h': 655}, {'x': 0, 'y': 252, 'w': 1170, 'h': 1170}, {'x': 0, 'y': 88, 'w': 1170, 'h': 1334}, {'x': 0, 'y': 0, 'w': 711, 'h': 1422}, {'x': 0, 'y': 0, 'w': 1170, 'h': 1422}]}}, {'display_url': 'pic.twitter.com/IV2pJXh7e9', 'expanded_url': 'https://twitter.com/TheBlueHills49/status/1768362643398541699/photo/1', 'id_str': '1768362636909928448', 'indices': [280, 303], 'media_key': '3_1768362636909928448', 'media_url_https': 'https://pbs.twimg.com/media/GIp8cvcW4AABYln.jpg', 'type': 'photo', 'url': 'https://t.co/IV2pJXh7e9', 'ext_media_availability': {'status': 'Available'}, 'features': {'large': {'faces': []}, 'medium': {'faces': []}, 'small': {'faces': []}, 'orig': {'faces': []}}, 'sizes': {'large': {'h': 1992, 'w': 1170, 'resize': 'fit'}, 'medium': {'h': 1200, 'w': 705, 'resize': 'fit'}, 'small': {'h': 680, 'w': 399, 'resize': 'fit'}, 'thumb': {'h': 150, 'w': 150, 'resize': 'crop'}}, 'original_info': {'height': 1992, 'width': 1170, 'focus_rects': [{'x': 0, 'y': 121, 'w': 1170, 'h': 655}, {'x': 0, 'y': 0, 'w': 1170, 'h': 1170}, {'x': 0, 'y': 0, 'w': 1170, 'h': 1334}, {'x': 174, 'y': 0, 'w': 996, 'h': 1992}, {'x': 0, 'y': 0, 'w': 1170, 'h': 1992}]}}]",1631,"[<Tweet id=""1768382227220472151"">, <Tweet id=""1768491659116019738"">]",,
1.76800125225076E+018,@paolienlal @PMOIndia @AmitShah @JPNadda #kukimilitant on 3rd may 2023..... and rest u can explain refugees https://t.co/iZ0TB10fE7,1,Wed Mar 13 19:48:41 +0000 2024,James,en,1,"[{'display_url': 'pic.twitter.com/iZ0TB10fE7', 'expanded_url': 'https://twitter.com/James55429535/status/1768001252250759290/photo/1', 'id_str': '1768001248869900289', 'indices': [108, 131], 'media_key': '3_1768001248869900289', 'media_url_https': 'https://pbs.twimg.com/media/GIkzxMFWYAEW0df.jpg', 'type': 'photo', 'url': 'https://t.co/iZ0TB10fE7', 'ext_media_availability': {'status': 'Available'}, 'features': {'large': {'faces': [{'x': 511, 'y': 476, 'h': 59, 'w': 59}]}, 'medium': {'faces': [{'x': 511, 'y': 476, 'h': 59, 'w': 59}]}, 'small': {'faces': [{'x': 321, 'y': 299, 'h': 37, 'w': 37}]}, 'orig': {'faces': [{'x': 511, 'y': 476, 'h': 59, 'w': 59}]}}, 'sizes': {'large': {'h': 1037, 'w': 1080, 'resize': 'fit'}, 'medium': {'h': 1037, 'w': 1080, 'resize': 'fit'}, 'small': {'h': 653, 'w': 680, 'resize': 'fit'}, 'thumb': {'h': 150, 'w': 150, 'resize': 'crop'}}, 'original_info': {'height': 1037, 'width': 1080, 'focus_rects': [{'x': 0, 'y': 265, 'w': 1080, 'h': 605}, {'x': 0, 'y': 0, 'w': 1037, 'h': 1037}, {'x': 0, 'y': 0, 'w': 910, 'h': 1037}, {'x': 0, 'y': 0, 'w': 519, 'h': 1037}, {'x': 0, 'y': 0, 'w': 1080, 'h': 1037}]}}]",47,[],,
1.76723278120009E+018,@IndiaTodayNE U can directly say indigenous meitei village burn by #kukimilitant @IndiaTodayNE,4,Mon Mar 11 16:55:03 +0000 2024,James,en,0,,131,[],,
1.76698495819383E+018,@PGangte66 Soo must be abrogated to save innocent kukis from jungli #kukimilitant,2,Mon Mar 11 00:30:17 +0000 2024,James,en,0,,98,[],,
1.76664724728103E+018,@paolienlal Its normal to support fellow refugees #kukimilitant,0,Sun Mar 10 02:08:21 +0000 2024,James,en,0,,66,[],,
1.76631859929852E+018,@VladAdiReturns And the govt of india let the indigenous Hindu of manipur suffer in the hand of #kukimilitant https://t.co/aOVRZ2Ym67,6,Sat Mar 09 04:22:25 +0000 2024,James,en,2,"[{'display_url': 'pic.twitter.com/aOVRZ2Ym67', 'expanded_url': 'https://twitter.com/James55429535/status/1766318599298523528/photo/1', 'id_str': '1766318588019781632', 'indices': [110, 133], 'media_key': '3_1766318588019781632', 'media_url_https': 'https://pbs.twimg.com/media/GIM5Zb8WsAApZyE.jpg', 'type': 'photo', 'url': 'https://t.co/aOVRZ2Ym67', 'ext_media_availability': {'status': 'Available'}, 'features': {'large': {'faces': [{'x': 511, 'y': 476, 'h': 59, 'w': 59}]}, 'medium': {'faces': [{'x': 511, 'y': 476, 'h': 59, 'w': 59}]}, 'small': {'faces': [{'x': 321, 'y': 299, 'h': 37, 'w': 37}]}, 'orig': {'faces': [{'x': 511, 'y': 476, 'h': 59, 'w': 59}]}}, 'sizes': {'large': {'h': 1037, 'w': 1080, 'resize': 'fit'}, 'medium': {'h': 1037, 'w': 1080, 'resize': 'fit'}, 'small': {'h': 653, 'w': 680, 'resize': 'fit'}, 'thumb': {'h': 150, 'w': 150, 'resize': 'crop'}}, 'original_info': {'height': 1037, 'width': 1080, 'focus_rects': [{'x': 0, 'y': 265, 'w': 1080, 'h': 605}, {'x': 0, 'y': 0, 'w': 1037, 'h': 1037}, {'x': 0, 'y': 0, 'w': 910, 'h': 1037}, {'x': 0, 'y': 0, 'w': 519, 'h': 1037}, {'x': 0, 'y': 0, 'w': 1080, 'h': 1037}]}}, {'display_url': 'pic.twitter.com/aOVRZ2Ym67', 'expanded_url': 'https://twitter.com/James55429535/status/1766318599298523528/photo/1', 'id_str': '1766318589160697856', 'indices': [110, 133], 'media_key': '3_1766318589160697856', 'media_url_https': 'https://pbs.twimg.com/media/GIM5ZgMXsAAAln7.jpg', 'type': 'photo', 'url': 'https://t.co/aOVRZ2Ym67', 'ext_media_availability': {'status': 'Available'}, 'features': {'large': {'faces': [{'x': 38, 'y': 465, 'h': 105, 'w': 105}]}, 'medium': {'faces': [{'x': 34, 'y': 422, 'h': 95, 'w': 95}]}, 'small': {'faces': [{'x': 19, 'y': 239, 'h': 54, 'w': 54}]}, 'orig': {'faces': [{'x': 38, 'y': 465, 'h': 105, 'w': 105}]}}, 'sizes': {'large': {'h': 1321, 'w': 898, 'resize': 'fit'}, 'medium': {'h': 1200, 'w': 816, 'resize': 'fit'}, 'small': {'h': 680, 'w': 462, 'resize': 'fit'}, 'thumb': {'h': 150, 'w': 150, 'resize': 'crop'}}, 'original_info': {'height': 1321, 'width': 898, 'focus_rects': [{'x': 0, 'y': 309, 'w': 898, 'h': 503}, {'x': 0, 'y': 111, 'w': 898, 'h': 898}, {'x': 0, 'y': 48, 'w': 898, 'h': 1024}, {'x': 0, 'y': 0, 'w': 661, 'h': 1321}, {'x': 0, 'y': 0, 'w': 898, 'h': 1321}]}}]",163,[],,
