,video_id,comments
0,MEeBdca7Do0,"['नमस्कार प्रभु', 'JALDI KURSI CHOD JANTA KA ₹KHANE WALE WORLD KA SAB SE  JHOOTA PM MODI HAI BAGAL ME CHOORI  MU PE RAM TERA PAAP KA GHADA PHAT GYA HAI JAI HIND', '8.6k views only in 6 days,532 likes only and 55 comments only while subscribers 77.1 lac\nIt itself indicate that people are not pleased with the governance and acting of modi ji and have started boycott godi media', 'I love my india hai', 'Dhanyawad PM sir.', 'VERY SUPERB VIDEOS SIR 👏👏👏👏👏👏👏👏👏', 'I wish that we all live up to your ideas. Thank you sir', 'Kaam ki baat kar na,', 'Mughe Aaj ke episode me casmini ki avag hi panshand ayi ❣️👍👍👍👍', '👍👍 I love my India 🇮🇳🇮🇳❤❤', 'धन्यवाद संसद टी.वी. 🎉', 'बीबी से मन के बात करना चाहिए,,,काम से बात जनता से करना चाहिए', 'काम का बात भी होगा या मन की बात ही करते रहेंगे 😢😢😢', '❤jay maa bharati', 'Caste census karao', 'Bjp obc virodhi party hai', 'Modi Hataoo desh bachoo.salaa ko mahgaie,unemployment par patar nahi mileage,Modi Hataoo desh bachoo.salaa ko mahgaie,unemployment par patar nahi mileage,', 'Good-Evening.🎆🌸Jai hind', 'जय भारत वंदेमातरम', 'Bs Kar yar ..😢😢']"
1,SAyhnHl_5TU,"['India is world number one in milk production. #1', '3.7k views,228 likes and only 14 comments in 2 days while subscribers 76.5 lacs\nIt itself indicate that people are not pleased with the governance and acting of modi ji and have started boycott godi media\nWe are thankful to Satya Pal Malik Ji for opening our eyes by unclothing dishonest public servants and red diary on Pulbama incidence\nWe are thankful to CAG for reporting 7 big scams under the governance of modi ji\nWe are thankful to ISRO for successful landing of Chandrayan 3 without salary for 17 months\nWe are thankful to Modi Ji for keeping his eyes ear and mouth close on firing Manipur from the last more than 3 months but visiting ISRO immediately after return from foreign country\nWe are thankful to godi media for closing their eyes mouth and ear on governance of modi ji and role of institutions.\nWe are thankful to cbi to arrest director of ED in corruption case.\nWe are thankful to ED to keep his eyes ear and mouth close on dishonest public servants aleady in BJP or Join BJP and no action against culprits involved in 7 big scams under the governance of modi ji reported by CAG.', 'Sorry modi sir ji', 'Very useful episode', 'My ideal my inspiration modi ji always my favorite leader ❤🎉👏', 'Very nice program', 'किसी का मन के बात सुनने को हमें कोई टाइम नहीं। हमारे मन के बात सुनो । आपके मनके बात मन में रखना 😄❗', 'Sansad tv best', 'लौड़ा सुनेगा तुम्हार मन की बात', 'Bharat me bas ""bharshtachar ,berojgar,atyachar and jativad"" teji se aage bad Raha hai Bharat me jo ameer hai hota ja raha aur jo gareeb hai wo gareeb hota ja raha hai is par hamare bharat sarkar ko Gambhir roop sochana chahiye??????????? Mera bas yahi Bharat sarkar se nivedan hai 🙏🙏🙏🙏🙏🙏🙏🙏', 'जयहिन्द🇮🇳\nभारत माता की जय\nहमें भारतीय हो पाने का स्वाभिमान एवं गर्व है🙏🏻', 'यदि देश के विकास की बात करनी है तो पहले विद्यालयों की करो मेरा आपसे अनुरोध है कि आप जो योजनाये बनाते हो विद्यार्थी की शिक्षा के लिए वो योजनाये विद्याथियों तक आती ही नहीं है हमारे देश के आधिकारी पद के लोग इस योजना के धन को खुद के पेट में डाल रही है', 'गर्व से कहो हम हिंदू है।🕉🚩🚩🚩', '🗣️🙏']"
2,fq6fAaS6A4c,"['Agar aaj dislike button pe dislike ke number show hote...tab likes jyada dislike dikhte... isliye dislikes number hata diye gye hai 😂😂\nDarpok modi...😂😂😂', 'He can only read ppr not able to speak a word of his own', '😂😂😂😂', 'Dharti pe pap ka  bojh badh gaya hai...wo isliye kyuki aap jaise nettritv hmare desh ko mila hai..', 'Ye kaha pr laga h , pata hi nhi, aisa to hr year hota h lekin pata nhi kaha pr ped lagate ,wo shayad paper pr lagaya jata h....😢😢😢😢😢😢', 'Ab modi g bhi kahne sarm aati hai ,tuhare keval aapshbaad nikal raha hai kitna din tak taloge modi ,manipur  news', 'संसद TV ये बताने का कष्ट करेगा क्या, कि मन की बात को तो पूरा प्रसारित करता है, पर संसद ए हुई कार्यवाई को पूरा पूरा हुबहु जैसा की संसद मे घटित हुआ अर्थात लाइव क्यूँ नहीं प्रसारित करता आधी चीजें छुपा क्यूँ लेता है, खास तौर से विपक्ष की', ""' म ' से मन की बात तो कर ली, सावन की बरसात तो कर ली, झूलों तक की बात न भूले, ' म ' से मणिपुर की सुधि भी क्युं न ली"", 'NIC', 'Thanks my honarebale prime minister give for many information of indian culture', 'Sab pr bole Thora Manipur ki halt pe v kuch bol lete Manipur ki maata or bahno ke v khat padh lete , jaeye modi ji apse ye umid nhi thi , ek or desh ka ek hisa hinsa ke chapet me h oha matai or bahno ki sareyam  langa Kiya ja rha h or ap ,,,,,,,,,,,', 'Modi ko harana to door pehle vipaksh ki koi party opposition ki criteria to poori kre....phir baat krenge. Opposition 2047 tak bhool jaye power me aane ka specially Centre me😂😂😂😂😂', ""My Dear Prime minister\n Honorable Sir,\n You are sacrificing all your time and resources for the upliftment of downtrodden people in the Indian society, so we want to attract your kind attention to deliver justice for below mentioned people with benchmark disability. \nStigmatization of people with mental illness has persisted throughout history and it continues to prevail in the present civilized world.People with mental disorders are, or can be, particularly vulnerable to abuse and violation of their rights. Legislation is an important mechanism to ensure their rights. Kindly consider my appeal on RPWD  Act 2016 of the section 34 that provides reservation for the PWD, 4th category(category : D) which includes mental illness. People suffering from the mental illness may have extra ordinary power/intelligence for example Nikola Tesla, Charles Darwin ,Albert Einstein,\xa0 Abraham Lincoln,Winston Churchill,  Isaac Newton,and many unknowable personalitie \xa0were\xa0 severely suffering from O.C.D./Other mental illnesses,\xa0\n\n In 2021 identification for the post for M I (mentally ill) have been (defectively) done by central government. \nHow anybody can decide the capabilities of the person with disability without giving him opportunities to do. \nIdentification of the job for PWBD 4th category is wrong especially in case of mental illness there  are many types of mental illnesses & differ gravity case by case. So how can anyone decides identification of job stereotypically. \n\n It is against the intent of the UNCRPD, Social law,& Human  rights too.  \nBut unfortunately in India's Government, Social welfare ministry did identification of the job for mental illness disability in stereotype mentality.\n\nMoreover, As provided  by RPWD Act 2016 job reservation to PWBD 4th (D) category is not implementing  in high level jobs by DOPT.\n\nKindly do the justice for most vulnerable class of the society."", '😊😊ji', 'तुम प्रधानमंत्री नहीं प्रचार मंत्री हो गये हो, दिन रात प्रचार प्रचार बस प्रचार,\nकभी मुद्दों पर चर्चा कर लिया करो, मुद्दों से डर लगता है क्या।\nबेरोजगारी, महंगाई, मणिपुर।।\nआपने देश को बर्बाद कर दिया।।\nगरीबों के आंखों में अब आंसू भर गया है।', 'Why r u silent on Manipur?', 'मणिपुर को महिलाओं का  विडियो की वायरल हुआ है। उसपर भी कुछ बोलिये मोदी जो', ""All is well your govt done excellant work Modi ji but , but you have to answer two questions \n1). Why your govt not providing Govt Employment to youth( in order to ensure this you have to decrease the service tenure of all govt er mployees to 15 years already this  exist in the Defence dept( Airforce, Navy, Army) , why can't your govt extend this to all departments.\n2) Why your govt is levying hefty taxes on petrol & diesel?"", 'Bakwas bakwas 😢😢\n4.5 years ho gaye railway level 1 ki joining de do  please 🙏🙏🙏🙏🙏🙏🙏🙏🙏 ER KOLKATA ne to had hi kar di bekar karmchari betha rakhe ha kamchor sale 😢😢\nPlease help', 'thanku sir .. for local and vocal voice❤']"
3,2C9Hadeoi3E,"['Thank you 😊😊😊😊 useful for upsc', 'Very helpful for UPSC aspirants... thanks 🙏', '😊', 'जनता की बात मणिपुर समस्या, खिलाड़ी लड़कियों की probem नही दिखती', 'सर हमारे पहलवानो ने क्या जीता?', 'bhut bhut dhaniya bad respected sir', 'Manipur violence ke bare me kya khyal hai sir', 'Kon sunta h ye yaar, saar dard krne lagta h ab modi ka voice sunte hii... Kiya bakwas h😮', 'Feku', 'Pm modi ji ke man ki bat ke lie dhanyawad', 'Dhanyawad sir ji ❤', 'आप सिर्फ आपके मन की बात किजिये... Press conference कभी मत करना.', 'Bpl ki difination kiya hei', 'जनता के मन की बात सुनना ज्यादा जरूरी है, 😂जनता 100% रोजगार चाहती है जो की आप से किसी जन्म मे पूरी नहीं होगी, आप मन में सोचें कि आप क्या कर रहे हैं😀 0:32 😀😀😂😅 0:32', 'मैं चाहता हूं की pm ji मन की बात करे हमारे समाज कोई आपत्ति नहीं है, लेकिन समाज के व्यक्तियो की समस्या को भी सुनने के लिए कोई पोर्टल तैयार करे।\nजनता की bat--जनता है आपके साथ।', 'फेकु लबाड बेशरम नालायक नरेंद्र मोदी हटाओ देश बचाओ', 'दुनिया का सबसे बड़ा पप्पू है', 'Bihar ke Aurangabad me nabinagar ke sarkari hospital me tb ka doctor hamesa absent rakhte hai', 'Achhi books or achhe log jaldi se har koi samjh nhi Pata...jo samjh lega wo bhas nhi krega   mnnn krega...sahi glt ko samjh payega..jai hind..jai bhart', 'Modiji should speak also on wrestler protests,Manipur violence, 2crore jobs to youth, black money , doubling of farmers income etc. One sided dialogue not augur well in democracy.']"
4,G52NO-QE6Fk,"['44 likes,2 comments in 3 days']"
5,ksd5jUpGWv4,"['11k views,504 likes and 73 comments in one month while sansad tv have 7.5m subscribers.', 'Justice for Desh ki pahalwn betiya modiji unki bat kaun karega', 'Very useful information for upsc aspirants❤', 'That', 'Jis santoka aashirvad leke bade banehe unkabhi kuchh karte to aachha hota', 'Jay Maa bharti sirji', 'घोर बईमान और झूठा प्रधानमंत्री', 'PM modi ji is desh me beti ka itna mahtva h vo janter manter pr dikh rha h', 'Sansad tv best', 'Thanks SANSAD TV❤', 'ये मन की बात कहां कर रहा ये तो चुनाव प्रचार कर रहा', 'मै Upsc का तैयारी कर रहा हूँ और मुझे मन की बात सुनने से बहुत सहायता मिलता है देश के दूर दराज इलाके मे हो रहे नए नए innovation के संदर्भ मे , बहुत बहुत धन्यवाद मोदी जी इस कार्यक्रम के लिए  ।', 'बेशर्म घमंडी BJP का पतन शुरू हो चुका है। असहाय बेटियों की एक एक सिसक ताबूत में आखिरी कील साबित होगी।', 'इस बेवकूफ से बकवास जितने मर्जी मरवा लो हिंदू-मुस्लिम जितना मर्जी करवा लो एक नंबर का घटिया आदमी', 'इतना घटिया आदमी है यह अपनी ही पत्नी को छोड़कर लोगों को बेटी बचाओ के बारे में बता रहे हैं', 'Iske alochak Raghuram Rajan jo Bhartiya government the pahle RBI ke aur urjit Patel RBI Governor the RBI ke aur HAL hi Mein Rajyapal Satyapal Malik si. r Jab Nahin I government I Thi tab Hamare Supreme Court ki hi teen Judge ne Sadak per Aakar aur aaj Hamare pahalwano ki sthiti aap dekhiae rahe ho sabse ghatiya aadami hai yah mera durbhagya hai ki esa aadmi pm  h Kahana pad raha hai', 'Thanks ❤❤❤', 'Jai Hind 🇮🇳🇮🇳🇮🇳', 'अपने मन की बात तो कर दी कभी बेरोजगार युवाओं के मन की बात जानने की कोशिश की है', 'Feku खूब फेंक रहा है देश बर्बाद करके रख दिया है']"
6,kovi9FDfUzs,"['7.9 K VIEWS,367 LIKES AND 36 COMMENTS IN 2 MONTHS TILL 06.06.23 3.51 PM WHILE 7.5M SUSBCRIBERS OF SANSAD TV,140 CR POPULATION OF INDIA,80 CR RASHAN GETTING AND 7 CR BJP BHAGAT.', 'Kitne madhur awaaz heeee...Lekin vaccncy ta nahi niklatee😂😂😂😂', 'बेटियों को पढ़ायें, ये अपना ही नहीं, पूरे परिवार और समाज का नाम रौशन करती हैं...!!!🖊️', 'मोदी तो देख देख कर बोले', 'Sayed h kollapure', '🇮🇳🇮🇳❣️😊🙏🙏', 'MudiJeeTakeMyHeartfullNamasccar,IAmAFollorToYou,Taki ngYourGoodDuvlupmentPolicyForTheCountrymen.IAmAPoorFarmer&Envernmilist.', 'Chaukidaar chor hai', '👌👌👌👌👌👌', 'Man me hi vichar kar rahe ho Modi Ji  man me hi vote denge aapko', '🙏🙏🙏🙏🙏', 'Ye garibi or berojgari ,mahangai kb khatm hogi pm g ?', 'वेरी उसेफुल प्रोग्राम', 'Ghanta utsah h', 'Feku baba keval man ki baat karogi kabhi kaam ki karlo bakwas Modi hatao desh bachao Jay shree krishna', 'Best sansad TV for students and keep informed for students', 'Kam ki baat karo Modani ji', 'Sar ji Jara hamari Garib ki baat suni ja rahi hai', 'Antariksh  k bare me kuch bolea  sir', 'Pura midia to kharedliya kabhi Aaj Tak tabhi abp par aana kaise khate Hain batao kat ke khate ya janta ka khoon chuse jaisa chuse ke khate hain 8sal ho gaya ravish Kumar ko kab denge interview kutte ki dum hazar sal bhi nalli me dal ke rakho sidhi nahi hogi karle lund ki bat']"
7,m3qHlzv4ock,"['दुनिया के सबसे अच्छे प्रधानमन्त्री', 'Sansad tv best', 'जय श्री राम', 'Pm modi is great', 'Sare log se jawadasti hi bolaba lo banaras saja diye jo saja h usi ko saja rhe ho thoda pichhade city ko aage badhao tv badhai denge aise thagane wale kam k liye nhi', 'हर एक महीना में एक आम जनता चाहे रोड का महल या जंगल का रहने वाला हो देश प्रधान मंत्री से रूबरू हो पाता है इससे भी बड़ी कौन सी किस्मत होगी \n\nमै उस मां का आभारी हूं जिन्होंने आपको जन्म दिया तो दूसरी ओर ओ मां को भी आभार जिसने मुझे भारत में जन्म दिया है।\n🙏🙏🙏', 'Feku tum aab nahi 2024 me gaddi Khali karo feku dogla Brahman.', 'Thanks sir....', 'बहुत हो गई आपके मन की बात।\n\nजनता की बात कब सुनोगे आप!', 'अब जनता की बात सुनिए 🙏', 'Kuchh bewkuf aaj bhi iski tarif kar rahe hain.\nKitne gawar honge jo desh ki halat nahi dekh pa rahe hain', 'Pranam sir🙏', 'मैं भगवान चंद्रमौली से प्रार्थना करुंगा कि प्रधानमंत्री श्री नरेंद्र मोदी पर अपनी कृपा और आशीर्वाद हमेशा बनाए रखें और प्रधान मंत्री श्री नरेंद्र मोदी को लंबी उम्र प्रदान करे \nजय हिन्द', 'आप हमेशा सक्रिय रहते हैं माननीय प्रधानमंत्री जी l', 'बहुत ही अच्छा कदम है  मन की बात कार्यक्रम l', 'देश के यशस्वी प्रधानमंत्री जी को मेरा सादर प्रणाम', 'What about the English News bulletin? Please continue the English News at 9 pm everynight..', '🇮🇳', 'Mody ji Man ki baat mat kijiye...\n             Kam kijiye kam,\nAbhi tak PoK kyo nahi liya..??', 'भाजपा मुक्त भारत बनाएंगे महंगाई मुक्त भारत बनाएंगे रोजगार लाएंगे']"
8,7YKwz82KEmI,"['Man ki baat suno  yaha tan ki baat nahi hoti eswar bipax ki sadbudhi de,,,,M,', 'Nice speech', 'Voto ki counting vali machines evm mai farjiwada karke vapis aaa jate ho', 'Nhi to es desh ki janta maf nhi karegi', 'Ab aap press conference karke es desh ke logo ke man ki bat sun liya karo', 'Sabhi ko pese or rajniti karni hai or bevkuf banana hai.', 'Currency ko samapt karo', 'Vapis barter system start karo', 'आज मान की बात का 97 एपिसोड था पर यह वहा केवल 84 ही एपिसोड है कृपया जो 13 एपिसोड मिसिंग है उनको भी जल्द से जल्द इस बेहतरीन कलेक्शन में सामिल करे आप की महान कृपा होगी।🇮🇳🙏', 'बस करो अब 🙏', 'रोजगार की बात कब होगी???????', 'nic', 'Sansad tv best', 'The worst pm of India.\nKewal apni man ki baat', 'Rojgar, mehangai , kisan ki baat bhi kijiye', 'एक press conference कर लो', 'मन की बात की भी एक लिमिट होती है', 'Modi ji ko Sardi ho gyi h kyyy?????', 'Sarkari Naukri to Dena nahi hai bus bakwas kariye', 'Sir 10 saal bhut hote he .... Aapne apne MN me jo tha sb bta diya ... Ab aap press conference KB kr rhe he or logo ki KB sunoge   ... Ye to duniya ka sbse bda loktantra hai jha logo ki koi ni sunta ...']"
9,mZ0H1gyQQyc,"['महांमहिंमजी, वर्रष2022 की उपलवधता पर नमंन। आपका सेवक। आपकी शुभ कामनाएं देश भर में देश को उजजवल बनाता है,सवर्रगीय श्री अटल बिहारी बाज पेई जी के उदुतती यादों का जिकृ करते, जंन जंन तक जागृत कराया, देश के लिए महांनतम है व उचच जागरूकता के लिए देश भर से नमंन।', 'जय हिन्द जय भारत 🙏🏻🙏🏻🙏🏻', 'Nice information channel', 'Johar ❣️🙏🏽🇮🇳', 'U are my ideal... \nLove u from gorakhpur...❤️🙏🇮🇳', 'Thanks P.M. sir....❤️🙏🙏', 'Modi gi faku only', 'Jumla baj', 'आप महान हैं 🙏🙏🙏🙏🙏', 'जय हिंद जय भारत 💪💪✌️✌️', ""Do something for women's self defence, \n LGBTQ community's basic human rights to leave with freedom n without fear  \nDo something for animals care n life 🙏🙏🙏🙏"", '*sir* 100 एपिसोड पूरे होने वाले है अब एक बार नागरिकों के मन की बात भी कर लो \nएक interview ravish kumar sir ko de do.🙏🙏', ""Feeling low today......lots of things running in head nd feel like there r a strom inside nd outsider voice is not heared......nearby people realise me that i m worthless b'coz i m unemployed nd its hurt"", 'माननीय पीएम श्री नरेंद्र मोदी जी आप तो हर महीने अपनी मन की बात तो सुना देते हैं, और मैं आपकी सारे मन की बातों को बहुत ध्यानपूर्वक सुनता भी हूं। लेकिन कभी देशनिर्माण रूपी जनता की मन की बातों को सुनने की कोशिश कीजिए, मैं आपको वादा करता हूं की ये मन की बात दुबारा करने का मन नहीं करेगा लोगों की समस्याएं जान कर।🙏🙏🙏', 'Real Hero..Har Har Modi..Jai hind.', 'Real hero of the world.... Salute you sab...', 'Modi jee kabhi student ke rojgar pe bàat kijiy... Pata na aap kaise itna fake lete hai eske liy apko soute karte hai ...agr aap aur 5saal rah jaega to sachpuch me garib aur garib ho jayega Amir aur amir ho jayenge...ap ek bhart ek Suresh bolne me sarm nhi aati thoda.thoda sarm bhi kr leya kijiy', 'Onlyenglishlaugecoment', 'प्रधानमंत्री को कोई कितना गाली से बुरा बोले\nवो कैसे है वहीं जाने\nलेकिन उनकी ये मन की बात इंसान को बोर होने नहीं देती\nमोदी जी ऐसे नेता है जिनके कारण भाषण कभी बोर होने नहीं देता', 'मोदी जी जनसंख्या नियंत्रण कानून , समान नागरिक संहिता , POK , अक्साई चीन , बेरोजगारी , भुखमरी ,  इनपर भी बात करो सिर्फ मान की बात करते हो']"
