id,text,favorite_count,created_at,author,language,retweet_count,media,view_count,replies
1768345279189942622,"@Common_man230 aikayche ahe tar aik.. Electoral Bonds gheun aala, Manipur var tond band, Brij Bhushan var tond band, Hathras var tond band, Kanpur var tond band, Press Conference nahi ajun ek pan, Khotarda ahe he tar jagjahir ahe",1,Thu Mar 14 18:35:43 +0000 2024,Sanket,in,0,,5,[]
1768345111841378396,@narendramodi @MamataOfficial Kash Manipur ke Hindus ke liye bhi koi prey kr dete ap Jaldi. Kanhaiyalal aur uske jaise jitne sar tan se juda huye unke liye bhi kr dete koi pray. Har time bas politics ki karni hoti,0,Thu Mar 14 18:35:03 +0000 2024,Testing Channel,hi,0,,5,[]
1768345074872811773,#CAA #NRC #Hiddenagenda 1 party 1 #Parivaar in the name of minorities #Christian suffer everywhere inclusive #India #Manipur why discriminate only #Pakistan #Afghanistan #Bangladesh❓Instead of #Blackmoney invite foreigners refugees voters of #Goa #ViksitBharatViksitGoa #Politics https://t.co/SapnqLCJxz,0,Thu Mar 14 18:34:54 +0000 2024,Cedrick (He/Him/His) 🖤,en,0,"[{'display_url': 'pic.twitter.com/SapnqLCJxz', 'expanded_url': 'https://twitter.com/Cedrick0577/status/1768345074872811773/photo/1', 'id_str': '1768344900976754688', 'indices': [280, 303], 'media_key': '3_1768344900976754688', 'media_url_https': 'https://pbs.twimg.com/media/GIpsUX8XwAA3mAN.jpg', 'type': 'photo', 'url': 'https://t.co/SapnqLCJxz', 'ext_media_availability': {'status': 'Available'}, 'features': {'large': {'faces': []}, 'medium': {'faces': []}, 'small': {'faces': []}, 'orig': {'faces': []}}, 'sizes': {'large': {'h': 1770, 'w': 1290, 'resize': 'fit'}, 'medium': {'h': 1200, 'w': 875, 'resize': 'fit'}, 'small': {'h': 680, 'w': 496, 'resize': 'fit'}, 'thumb': {'h': 150, 'w': 150, 'resize': 'crop'}}, 'original_info': {'height': 1770, 'width': 1290, 'focus_rects': [{'x': 0, 'y': 0, 'w': 1290, 'h': 722}, {'x': 0, 'y': 0, 'w': 1290, 'h': 1290}, {'x': 0, 'y': 0, 'w': 1290, 'h': 1471}, {'x': 0, 'y': 0, 'w': 885, 'h': 1770}, {'x': 0, 'y': 0, 'w': 1290, 'h': 1770}]}}, {'display_url': 'pic.twitter.com/SapnqLCJxz', 'expanded_url': 'https://twitter.com/Cedrick0577/status/1768345074872811773/photo/1', 'id_str': '1768344901014425600', 'indices': [280, 303], 'media_key': '3_1768344901014425600', 'media_url_https': 'https://pbs.twimg.com/media/GIpsUYFWkAA9w1p.jpg', 'type': 'photo', 'url': 'https://t.co/SapnqLCJxz', 'ext_media_availability': {'status': 'Available'}, 'features': {'large': {'faces': []}, 'medium': {'faces': []}, 'small': {'faces': []}, 'orig': {'faces': []}}, 'sizes': {'large': {'h': 1729, 'w': 1290, 'resize': 'fit'}, 'medium': {'h': 1200, 'w': 895, 'resize': 'fit'}, 'small': {'h': 680, 'w': 507, 'resize': 'fit'}, 'thumb': {'h': 150, 'w': 150, 'resize': 'crop'}}, 'original_info': {'height': 1729, 'width': 1290, 'focus_rects': [{'x': 0, 'y': 0, 'w': 1290, 'h': 722}, {'x': 0, 'y': 0, 'w': 1290, 'h': 1290}, {'x': 0, 'y': 0, 'w': 1290, 'h': 1471}, {'x': 0, 'y': 0, 'w': 865, 'h': 1729}, {'x': 0, 'y': 0, 'w': 1290, 'h': 1729}]}}, {'display_url': 'pic.twitter.com/SapnqLCJxz', 'expanded_url': 'https://twitter.com/Cedrick0577/status/1768345074872811773/photo/1', 'id_str': '1768344900972544000', 'indices': [280, 303], 'media_key': '3_1768344900972544000', 'media_url_https': 'https://pbs.twimg.com/media/GIpsUX7XgAAQELw.jpg', 'type': 'photo', 'url': 'https://t.co/SapnqLCJxz', 'ext_media_availability': {'status': 'Available'}, 'features': {'large': {'faces': [{'x': 72, 'y': 35, 'h': 98, 'w': 98}]}, 'medium': {'faces': [{'x': 72, 'y': 35, 'h': 98, 'w': 98}]}, 'small': {'faces': [{'x': 68, 'y': 33, 'h': 92, 'w': 92}]}, 'orig': {'faces': [{'x': 72, 'y': 35, 'h': 98, 'w': 98}]}}, 'sizes': {'large': {'h': 720, 'w': 720, 'resize': 'fit'}, 'medium': {'h': 720, 'w': 720, 'resize': 'fit'}, 'small': {'h': 680, 'w': 680, 'resize': 'fit'}, 'thumb': {'h': 150, 'w': 150, 'resize': 'crop'}}, 'original_info': {'height': 720, 'width': 720, 'focus_rects': [{'x': 0, 'y': 0, 'w': 720, 'h': 403}, {'x': 0, 'y': 0, 'w': 720, 'h': 720}, {'x': 88, 'y': 0, 'w': 632, 'h': 720}, {'x': 360, 'y': 0, 'w': 360, 'h': 720}, {'x': 0, 'y': 0, 'w': 720, 'h': 720}]}}, {'display_url': 'pic.twitter.com/SapnqLCJxz', 'expanded_url': 'https://twitter.com/Cedrick0577/status/1768345074872811773/photo/1', 'id_str': '1768344901006114817', 'indices': [280, 303], 'media_key': '3_1768344901006114817', 'media_url_https': 'https://pbs.twimg.com/media/GIpsUYDXwAEF8jp.jpg', 'type': 'photo', 'url': 'https://t.co/SapnqLCJxz', 'ext_media_availability': {'status': 'Available'}, 'features': {'large': {'faces': [{'x': 183, 'y': 463, 'h': 78, 'w': 78}]}, 'medium': {'faces': [{'x': 183, 'y': 463, 'h': 78, 'w': 78}]}, 'small': {'faces': [{'x': 183, 'y': 463, 'h': 78, 'w': 78}]}, 'orig': {'faces': [{'x': 183, 'y': 463, 'h': 78, 'w': 78}]}}, 'sizes': {'large': {'h': 575, 'w': 450, 'resize': 'fit'}, 'medium': {'h': 575, 'w': 450, 'resize': 'fit'}, 'small': {'h': 575, 'w': 450, 'resize': 'fit'}, 'thumb': {'h': 150, 'w': 150, 'resize': 'crop'}}, 'original_info': {'height': 575, 'width': 450, 'focus_rects': [{'x': 0, 'y': 323, 'w': 450, 'h': 252}, {'x': 0, 'y': 125, 'w': 450, 'h': 450}, {'x': 0, 'y': 62, 'w': 450, 'h': 513}, {'x': 157, 'y': 0, 'w': 288, 'h': 575}, {'x': 0, 'y': 0, 'w': 450, 'h': 575}]}}]",6,[]
1768345072536555634,@world2_dumb @jonsnoww01 @sanjeevsinghx Kya mahol hai hame pata hai tum apna mahol dekho samjha manipur me nanagi lagki ghumaya ja raha hai aur tu bakwas Kar raha hai sabse Jada desh ke paisa leke bhagne me gujrati hi hai Asha ram babu Kaun tha morbi bridge kya tha 2002 danga kya tha 2018 danga kya tha,0,Thu Mar 14 18:34:54 +0000 2024,vtx,hi,0,,1,[]
1768344882551390494,"Future Gaming... Has nothing to do with eSports but Lottery...

It's a coimbatore based Company... distribution ka kaam hai..

Arunachal Pradesh, Assam, Goa, Kerala, Madhya Pradesh, Maharashtra, Manipur, Meghalaya, Mizoram, Nagaland, Punjab, Sikkim, and West Bengal. In",0,Thu Mar 14 18:34:08 +0000 2024,Manish Pangotra🇮🇳 (Modi Ka Parivar),hi,0,,18,"[<Tweet id=""1768344884614988277"">]"
1768344865258246333,"@3lfares As an indian, I stand with palestine. https://t.co/IWR8f780Zu",0,Thu Mar 14 18:34:04 +0000 2024,Sasusaku stan.Save Manipur and Free Palestine🍉,en,0,"[{'display_url': 'pic.twitter.com/IWR8f780Zu', 'expanded_url': 'https://twitter.com/pillai_tanya/status/1768344865258246333/photo/1', 'id_str': '1768344762992754691', 'indices': [47, 70], 'media_key': '3_1768344762992754691', 'media_url_https': 'https://pbs.twimg.com/media/GIpsMV6bAAMe3E-.jpg', 'type': 'photo', 'url': 'https://t.co/IWR8f780Zu', 'ext_media_availability': {'status': 'Available'}, 'features': {'large': {'faces': []}, 'medium': {'faces': []}, 'small': {'faces': []}, 'orig': {'faces': []}}, 'sizes': {'large': {'h': 151, 'w': 220, 'resize': 'fit'}, 'medium': {'h': 151, 'w': 220, 'resize': 'fit'}, 'small': {'h': 151, 'w': 220, 'resize': 'fit'}, 'thumb': {'h': 150, 'w': 150, 'resize': 'crop'}}, 'original_info': {'height': 151, 'width': 220, 'focus_rects': [{'x': 0, 'y': 28, 'w': 220, 'h': 123}, {'x': 0, 'y': 0, 'w': 151, 'h': 151}, {'x': 0, 'y': 0, 'w': 132, 'h': 151}, {'x': 0, 'y': 0, 'w': 76, 'h': 151}, {'x': 0, 'y': 0, 'w': 220, 'h': 151}]}}]",4,[]
1768344793137242409,"@3lfares As an Indian, I stand with palestine https://t.co/Hcv6zOhHpE",0,Thu Mar 14 18:33:47 +0000 2024,Sasusaku stan.Save Manipur and Free Palestine🍉,en,0,"[{'display_url': 'pic.twitter.com/Hcv6zOhHpE', 'expanded_url': 'https://twitter.com/pillai_tanya/status/1768344793137242409/photo/1', 'id_str': '1768344789509115905', 'indices': [46, 69], 'media_key': '3_1768344789509115905', 'media_url_https': 'https://pbs.twimg.com/media/GIpsN4sakAEeeQX.jpg', 'type': 'photo', 'url': 'https://t.co/Hcv6zOhHpE', 'ext_media_availability': {'status': 'Available'}, 'features': {'large': {'faces': []}, 'medium': {'faces': []}, 'small': {'faces': []}, 'orig': {'faces': []}}, 'sizes': {'large': {'h': 151, 'w': 220, 'resize': 'fit'}, 'medium': {'h': 151, 'w': 220, 'resize': 'fit'}, 'small': {'h': 151, 'w': 220, 'resize': 'fit'}, 'thumb': {'h': 150, 'w': 150, 'resize': 'crop'}}, 'original_info': {'height': 151, 'width': 220, 'focus_rects': [{'x': 0, 'y': 28, 'w': 220, 'h': 123}, {'x': 0, 'y': 0, 'w': 151, 'h': 151}, {'x': 0, 'y': 0, 'w': 132, 'h': 151}, {'x': 0, 'y': 0, 'w': 76, 'h': 151}, {'x': 0, 'y': 0, 'w': 220, 'h': 151}]}}]",4,[]
1768344792617124207,"@3lfares As an Indian, I stand with palestine. https://t.co/ycPmfQNVuw",0,Thu Mar 14 18:33:47 +0000 2024,Sasusaku stan.Save Manipur and Free Palestine🍉,en,0,"[{'display_url': 'pic.twitter.com/ycPmfQNVuw', 'expanded_url': 'https://twitter.com/pillai_tanya/status/1768344792617124207/photo/1', 'id_str': '1768344789475590150', 'indices': [47, 70], 'media_key': '3_1768344789475590150', 'media_url_https': 'https://pbs.twimg.com/media/GIpsN4kbAAYnOAC.jpg', 'type': 'photo', 'url': 'https://t.co/ycPmfQNVuw', 'ext_media_availability': {'status': 'Available'}, 'features': {'large': {'faces': []}, 'medium': {'faces': []}, 'small': {'faces': []}, 'orig': {'faces': []}}, 'sizes': {'large': {'h': 151, 'w': 220, 'resize': 'fit'}, 'medium': {'h': 151, 'w': 220, 'resize': 'fit'}, 'small': {'h': 151, 'w': 220, 'resize': 'fit'}, 'thumb': {'h': 150, 'w': 150, 'resize': 'crop'}}, 'original_info': {'height': 151, 'width': 220, 'focus_rects': [{'x': 0, 'y': 28, 'w': 220, 'h': 123}, {'x': 0, 'y': 0, 'w': 151, 'h': 151}, {'x': 0, 'y': 0, 'w': 132, 'h': 151}, {'x': 0, 'y': 0, 'w': 76, 'h': 151}, {'x': 0, 'y': 0, 'w': 220, 'h': 151}]}}]",3,[]
1768344789609807901,@me_locket Manipur er lokera januar naki tale manchen eta 🤭🤭🤭🤭 https://t.co/J1IRm9msr2,0,Thu Mar 14 18:33:46 +0000 2024,Political Sangram,eu,0,"[{'display_url': 'pic.twitter.com/J1IRm9msr2', 'expanded_url': 'https://twitter.com/politics_hain/status/1768344789609807901/video/1', 'id_str': '1768344705614675969', 'indices': [63, 86], 'media_key': '7_1768344705614675969', 'media_url_https': 'https://pbs.twimg.com/ext_tw_video_thumb/1768344705614675969/pu/img/73KzzqiGoow3cM-T.jpg', 'type': 'video', 'url': 'https://t.co/J1IRm9msr2', 'additional_media_info': {'monetizable': False}, 'ext_media_availability': {'status': 'Available'}, 'sizes': {'large': {'h': 1280, 'w': 720, 'resize': 'fit'}, 'medium': {'h': 1200, 'w': 675, 'resize': 'fit'}, 'small': {'h': 680, 'w': 383, 'resize': 'fit'}, 'thumb': {'h': 150, 'w': 150, 'resize': 'crop'}}, 'original_info': {'height': 1280, 'width': 720, 'focus_rects': []}, 'video_info': {'aspect_ratio': [9, 16], 'duration_millis': 43300, 'variants': [{'content_type': 'application/x-mpegURL', 'url': 'https://video.twimg.com/ext_tw_video/1768344705614675969/pu/pl/fJSp_syZGYxO1JJf.m3u8?tag=12&container=cmaf'}, {'bitrate': 632000, 'content_type': 'video/mp4', 'url': 'https://video.twimg.com/ext_tw_video/1768344705614675969/pu/vid/avc1/320x568/N9oRMEK5KOgH00nW.mp4?tag=12'}, {'bitrate': 950000, 'content_type': 'video/mp4', 'url': 'https://video.twimg.com/ext_tw_video/1768344705614675969/pu/vid/avc1/480x852/WceY7V_qogGET4up.mp4?tag=12'}, {'bitrate': 2176000, 'content_type': 'video/mp4', 'url': 'https://video.twimg.com/ext_tw_video/1768344705614675969/pu/vid/avc1/720x1280/ZWGwY5cadB-fnSYz.mp4?tag=12'}]}}]",2,[]
1768344649322922202,"@aklanta_sahoo @gemsofbabus_ Why not mention Manipur which is BJP NEGATIVE Growth😏😏

Useless fellow",0,Thu Mar 14 18:33:13 +0000 2024,Muthukumar,en,0,,2,[]
